Retweets,Likes,Cleaned_Tweets,day,month
5709,53880,Vox Populi Vox Dei,19,10
470,7090,"Several major architectural upgrades in 10.69.3, so it’s much more than a point release, but we’re sticking with 10.69 just cause haha",19,10
215,5357,Sounds fair,19,10
1364,43868,Definitely giving me kid naming ideas ,19,10
1745,57905,And … sold out!,19,10
8082,98109,Internet in airplanes will feel same as if you were accessing Internet at home!,19,10
3324,46000,"28,700 bottles of exquisite Burnt Hair perfume already sold! Only 1,300 left of this unique, limited edition, collector’s item.",19,10
183,2900,We’re working on it. Hope to release something next week.,19,10
2801,33352,"No money from DoD, but several other countries, orgs &amp; individuals are paying for ~11k/25k terminals (thanks!).SpaceX is losing ~$20M/month due to unpaid service &amp; costs related to enhanced security measures for cyberwar defense, but we’ll keep doing it (sigh).",19,10
589,12432,Smart? Maybe. Does dumb stuff? Definitely!,18,10
102,2671,True,18,10
64,1531,Exactly,18,10
205,3868,"Should I make weapons? Ideally, not.",18,10
160,4861,An easy prediction,18,10
5267,55658,Drone War I,18,10
785,15877,(Actually) Smart Summon is almost done,18,10
571,12232,Yes,18,10
2331,64821,I have a plan,18,10
708,18697,Thanks Optimus :),18,10
743,9328,"To be precise, 25,300 terminals were sent to Ukraine, but, at present, only 10,630 are paying for service",17,10
3214,57357,SpaceX has already withdrawn its request for funding,17,10
895,8736,"Wrong analogy. America also had a humiliating withdrawal from Afghanistan. No one in America sees that country as part of America.Crimea *is* seen as a crucial part of Russia by Russia, much as Hawaii is seen as a crucial part of America.",17,10
91,2294,Probably not,17,10
2727,45837,Practice makes perfect …,17,10
243,3448,"Russia has been punched in the nose and forced to retreat many times by Ukraine. But what you don’t want to do is give Russia a choice of total, humiliating defeat or nukes – then the probability of them using nukes is high.",17,10
380,4944,"Obviously many disagree with this logic, but what do they think is their probability of being wrong about WW3. If they say 0%, they are utterly dangerous fools.",17,10
1003,11703,"But, hey, look on the bright side! At least Russia doesn’t get Crimea in that scenario, so you can be comforted by that thought, while watching the mushroom clouds rise.",17,10
1197,9845,"If Russia faces destruction of their army and utter defeat by NATO, they will use nukes, then NATO will respond with nukes and civilization is over",17,10
2523,15883,"Whether one likes it or not, Crimea is absolutely seen as a core part of Russia by Russia. Crimea is also of critical national security importance to Russia, as it is their southern navy base.From their standpoint losing Crimea is like USA losing Hawaii &amp; Pearl Harbor.",17,10
156,3728,Exactly,17,10
3111,19765,"If Russia is faced with the choice of losing Crimea or using battlefield nukes, they will choose the latter.We’ve already sanctioned/cutoff Russia in every possible way, so what more do they have left to lose? If we nuke Russia back, they will nuke us and then we have WW3.",17,10
9275,59111,Exceptionally well-said,17,10
211,2536,"Standard (non-performance) 3 &amp; Y suspension in production now has improved comfort, without affecting handling",17,10
84,1693,"Yeah, RV version is lower priority than standard version. You should still see high speeds during off hours. Is that happening?As we add more satellites &amp; upgrade satellite technology, speeds in high user density locations should see significant increases.",17,10
4098,74035,"Ok, we will add a donate option to Starlink",17,10
54,2312,"That’s oddly low. Normally, much higher.",17,10
5432,63326,Are there others that want to donate Starlinks to places in need?,17,10
589,22075,Ok,17,10
68,1697, that’s happened to me many times,17,10
99,1986,A much quieter leaf blower is possible,17,10
298,6975,"This is harder than it sounds, but ok",16,10
4193,67241,Deus X Machina,16,10
691,10708,"We are proceeding very carefully. If there is a RUD on the pad, Starship progress will be set back by ~6 months.",16,10
3382,69101,Game over when (not if) Earth gets hit by an object of that size,16,10
190,3102,Ramen &gt;&gt; Lambos,16,10
366,6928,Used a lot in rocketry,16,10
22035,238913,So true,16,10
493,13334,Every millipede has its millennia,16,10
494,15528,We should bring back their outfits,16,10
276,6712,Good thread,16,10
2825,44742,Fancy a game of meme tennis?,16,10
1628,34196,Buy Burnt Hair from a company that digs holes!,16,10
138,3738,I read this as goth clowns lonely,16,10
5101,94715,Did you hear about the dyslexic KBG agent – it’s pot secret!,16,10
556,14724,"Venn diagram intersection of those two audiences is pretty small, I guess",16,10
619,16678,Not as popular as I’d hoped (sigh),16,10
1975,31397,Pitching my idea once again for a crossover of Das Boot &amp; Boss Baby.“Das Baby” – Hijinks on the high seas!,16,10
184,4065,"Just a scratch, we can buff it out",16,10
87,2152,Mostly accurate,16,10
2358,63060,The comments in this thread are a conspiracy theorist’s wet dream,16,10
289,7734,Yup,16,10
378,11383,7 years ago,15,10
354,8637,Definitely one of the strangest meetings I’ve ever experienced.  was there too.,15,10
1845,23649,I’m trying my hardest to de-escalate this situation and obviously failing,15,10
1027,18706,"Damned if you do, damned if you don’t, so … guess I’m just damned",15,10
208,3736,"Starship &amp; next-gen Starlink satellites are key, but much risk lies ahead before those are working at scale",15,10
446,8447,The hilarious thing is you’re not wrong ,15,10
257,13719,So it goes …,15,10
731,28635,Fate loves irony,15,10
2220,66093,"Even so, we should still do good deeds",15,10
39422,515651,"The hell with it … even though Starlink is still losing money &amp; other companies are getting billions of taxpayer $, we’ll just keep funding Ukraine govt for free",15,10
661,7719,"That dude is not just a “condition of anonymity” spineless coward, he’s also an ignorant fool. Starlink was directly requested by the Ukraine government, as it was the only thing that worked.",15,10
246,3226,"It has required a lot of our resources. Going into super lockdown mode slows down new development progress, as we have to resist attacks from a sophisticated adversary actively at war.",15,10
224,3323,"DoD provided about 3% of the Falcon 1 development cost. Appreciated, certainly, but should be seen in context.",15,10
227,3243,Of course. And their signal jamming systems are also getting better.,15,10
1540,20168,"The amount SpaceX is requesting for a major battlefield advantage is less than the cost of one new GPS satellite. Ironically, GPS doesn’t work on battlefields, as the signal is easy to jam, but Starlink does.",15,10
817,5474,"Would be great if someday humanity stopped pointing nukes at itself that would destroy almost all life on Earth.In any given year, there is a chance above zero that they will be launched. We are now at the highest risk in 60 years.",15,10
766,27389,"Curses, foiled again!",15,10
765,17508,Accurate,15,10
5650,26663,"Russia has the ability to destroy USA &amp; Europe utterly with nuclear missiles in less than 30 minutes &amp; vice versa.A surprising number of people don’t know this.Of course, it would be MAD to use them, but it is also MAD to be in this situation at all.",15,10
297,7694,This has potential,15,10
380,3792,"Internet fiber, phone lines, cell towers &amp; other space-based comms in war areas have been destroyed. Starlink is all that’s left. For now.",15,10
1671,50531,Thank you for clarifying this ,15,10
1187,8805,"Starlink is the primary communications system of the Ukrainian army on the war front. If anyone else wants this job, please be my guest …",15,10
921,6398,"Big difference between peace comms vs warfront comms. Starlink is only comms system still working at warfront – others all dead. Russia is actively trying to kill Starlink. To safeguard, SpaceX has diverted massive resources towards defense.Even so, Starlink may still die.",15,10
332,4442,Concerning,14,10
478,4759,Are there citizens of nations who are helping Ukraine on this list?,14,10
2232,17837,"But surely no reasonable person would launch nuclear war?The problem with that logic is if we were dealing with reasonable people, we wouldn’t have war in the first place.",14,10
1686,14630,Is this list real? What’s the URL?,14,10
2880,25249,Yay!!,14,10
3805,87629,People should never fear turbulence. Commercial airliner wings can handle insane amounts of bending.,14,10
3240,50103,The right question to ask,14,10
18937,233536,We’re just following his recommendation ,14,10
224,3895,"Falcon can probably get Starlink past breakeven, but Starship is needed to fund Mars",14,10
125,2736,Yes,14,10
1114,8152,"In addition to terminals, we have to create, launch, maintain &amp; replenish satellites &amp; ground stations &amp; pay telcos for access to Internet via gateways. We’ve also had to defend against cyberattacks &amp; jamming, which are getting harder.Burn is approaching ~$20M/month.",14,10
473,5464,"Also, Starlink is still losing money! It is insanely difficult for a LEO communications constellation to avoid bankruptcy – that was the fate of every company that tried this before.When asked what the goal of Starlink was at a space conference, I said “not go bankrupt”.",14,10
262,4649,Maybe the  got their ,14,10
133,2501,Very few in Iran so far,14,10
1181,8437,"Strange that nothing was leaked about our competitors in space launch &amp; communications, Lockheed &amp; Boeing, who get over $60B …Wouldn’t be surprised to find this particular individual working there when he retires from DoD. Corruption at its finest.",14,10
666,6314,"SpaceX is not asking to recoup past expenses, but also cannot fund the existing system indefinitely *and* send several thousand more terminals that have data usage up to 100X greater than typical households. This is unreasonable.",14,10
659,12971,Vital to the future of consciousness,13,10
195,6011,srsly,13,10
203,3962,Next week,13,10
1179,27020,Envy has driven him to madness,13,10
234,3277,"Starlink requires nothing except ~50 Watt power source. With a small solar system plus battery or a generator, you will have connectivity anywhere.",13,10
83,2199,True,13,10
758,4588,There are some active terminals,13,10
101,1323,"Of course, this happens almost every day. They successfully destroyed Viasat in Ukraine several months ago.",13,10
325,3308,"Starlink has faced relentless jamming attacks &amp; SpaceX relentless cyberwar. So far, their success has been limited.",13,10
497,5328,Noted,13,10
567,6071,Starlink data usage growth in Ukraine,13,10
10277,196336,"20,000!!",13,10
192,6502,Cool,13,10
66,1622,Maybe with .3,13,10
3690,96459,This is real,13,10
942,15552," “My opinion is Burnt Hair is just Elon saying, chill out, have a laugh, and share a laugh.”",12,10
436,13905,Oh the irony ,12,10
2051,26738,"We might need a different name, as this is basically just Starlink with roaming capability, so you can take your terminal anywhere.",12,10
473,16142,The counter-intuitive thing is that it’s actually gonna be a sick product!,12,10
43464,587878,"Please buy my perfume, so I can buy Twitter",12,10
2019,33915,And right on cue  …,12,10
2104,54885,You’re most welcome. Glad to support Ukraine.,12,10
1370,28598,Doesn’t get more lit than this!,12,10
3530,38427,BE the change you want in the world!,12,10
2467,53973,Can’t wait for media stories tomorrow about $1M of Burnt Hair sold ,12,10
3978,80178,"10,000 bottles of Burnt Hair sold!",12,10
4350,66961,Over 5000 bottles of Burnt Hair sold!,12,10
946,23597,An omnigender product,11,10
13144,232238,"With a name like mine, getting into the fragrance business was inevitable – why did I even fight it for so long!?",11,10
2729,38121,And you can pay with Doge!,11,10
12713,129977,The finest fragrance on Earth!,11,10
7370,131079,Nobody should trust Bremmer,11,10
10946,155844,Maybe one day we can finally achieve,11,10
1035,17721,The next question one is typically asked is “Have you tried ayahuasca?”,11,10
78,1567,Not subtle,11,10
648,11444,"Sam, there is a such a thing as meditating too much",11,10
298,6659,"Yes, back to regularly scheduled programming",11,10
506,9661,"Pointless, as there is currently no overlap between Russian and Ukrainian demands – it’s not even close",11,10
